PlayedAt,TrackName,ArtistName,TrackId,TrackURL
"December 17, 2024 at 06:43PM",Deixe Me Ir - Acústico,1Kilo,6JKkP9ABQzYZUFSKSVDKIc,https://open.spotify.com/track/6JKkP9ABQzYZUFSKSVDKIc
"December 17, 2024 at 06:46PM",Flow Espacial,Teto,4qDT0BeJ7BjatrN9k8AvB4,https://open.spotify.com/track/4qDT0BeJ7BjatrN9k8AvB4
"December 17, 2024 at 06:50PM",Nossa Postura,Tz da Coronel,3HFDkl5n4laN34hafcFSkp,https://open.spotify.com/track/3HFDkl5n4laN34hafcFSkp
"December 17, 2024 at 06:52PM",PÉ NOVO,T-Rex,7432vfk7lMjvBKYWwcu2Uh,https://open.spotify.com/track/7432vfk7lMjvBKYWwcu2Uh
"December 17, 2024 at 06:55PM",NÉ SEGREDO,MC Cabelinho,4pjznsLeoyimnxGlVpmyJI,https://open.spotify.com/track/4pjznsLeoyimnxGlVpmyJI
"December 17, 2024 at 06:58PM",F* F* M*,Filipe Ret,0cHflpV8SSGbE0NKaasEfT,https://open.spotify.com/track/0cHflpV8SSGbE0NKaasEfT
"December 17, 2024 at 07:01PM",Maria,Matuê,2ux3Sb90r5aA74nLMls1u0,https://open.spotify.com/track/2ux3Sb90r5aA74nLMls1u0
"December 17, 2024 at 07:04PM",nssmnsb,MC Cabelinho,2JQnJDm11xI1aPDydn5qIN,https://open.spotify.com/track/2JQnJDm11xI1aPDydn5qIN
"December 17, 2024 at 07:07PM",ESSÊNCIA DE CRIA,MC Cabelinho,1iaPDgTbsKrlznVu13EWIf,https://open.spotify.com/track/1iaPDgTbsKrlznVu13EWIf
"December 17, 2024 at 07:09PM",B*D B*TCH,Brocasito,0o3XKT1gQUJXO56AycCjGl,https://open.spotify.com/track/0o3XKT1gQUJXO56AycCjGl
"December 17, 2024 at 07:11PM",XUXA,Derek,41Z9TyAfjU0D7POHtC6viq,https://open.spotify.com/track/41Z9TyAfjU0D7POHtC6viq
"December 17, 2024 at 07:17PM",Tava Bom,Mateca,78vcgnlsXbztZDZC9R5FUp,https://open.spotify.com/track/78vcgnlsXbztZDZC9R5FUp
"December 17, 2024 at 07:19PM",Ysl,Yunk Vino,4O3nF2ZJXQJv7l9yE7RgtL,https://open.spotify.com/track/4O3nF2ZJXQJv7l9yE7RgtL
"December 17, 2024 at 07:27PM",Kenny G,Matuê,3MkdA6vwF0ifRl86yzTlJW,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW
"December 17, 2024 at 07:27PM",ngm é perfeito,MC Cabelinho,48s5RykIHKyvbE04ejMxH1,https://open.spotify.com/track/48s5RykIHKyvbE04ejMxH1
"December 17, 2024 at 07:31PM",ngm é perfeito,MC Cabelinho,48s5RykIHKyvbE04ejMxH1,https://open.spotify.com/track/48s5RykIHKyvbE04ejMxH1
"December 17, 2024 at 07:34PM",tigrinho,MC Cabelinho,56x69XVUEab7NtWMUYvcLe,https://open.spotify.com/track/56x69XVUEab7NtWMUYvcLe
"December 17, 2024 at 07:37PM",acabou o amor,MC Cabelinho,3TuJODOhChHkg1pbMQ8RW4,https://open.spotify.com/track/3TuJODOhChHkg1pbMQ8RW4
"December 17, 2024 at 07:39PM",terminei recentemente,MC Cabelinho,32Pnch1VwRe5aEubdr5SaH,https://open.spotify.com/track/32Pnch1VwRe5aEubdr5SaH
"December 17, 2024 at 07:42PM",nssmnsb,MC Cabelinho,2JQnJDm11xI1aPDydn5qIN,https://open.spotify.com/track/2JQnJDm11xI1aPDydn5qIN
"December 17, 2024 at 07:46PM",LAMBORGHINI,Brandão85,7nKqKSu0ID3VPZzZvK5A36,https://open.spotify.com/track/7nKqKSu0ID3VPZzZvK5A36
"December 17, 2024 at 09:14PM",nssmnsb,MC Cabelinho,2JQnJDm11xI1aPDydn5qIN,https://open.spotify.com/track/2JQnJDm11xI1aPDydn5qIN
"December 17, 2024 at 09:17PM",terminei recentemente,MC Cabelinho,32Pnch1VwRe5aEubdr5SaH,https://open.spotify.com/track/32Pnch1VwRe5aEubdr5SaH
"December 17, 2024 at 09:21PM",ngm é perfeito,MC Cabelinho,48s5RykIHKyvbE04ejMxH1,https://open.spotify.com/track/48s5RykIHKyvbE04ejMxH1
"December 17, 2024 at 09:24PM",garrafa vazia,MC Cabelinho,4VNAAEN2euoyl7N8E3QSph,https://open.spotify.com/track/4VNAAEN2euoyl7N8E3QSph
"December 17, 2024 at 09:27PM",quem me dera,MC Cabelinho,3KtyJBBNlfs5R0H9dgZDWK,https://open.spotify.com/track/3KtyJBBNlfs5R0H9dgZDWK
"December 17, 2024 at 09:31PM",misericórdia,MC Cabelinho,0MmCrODsKXrfiIqt6CajUY,https://open.spotify.com/track/0MmCrODsKXrfiIqt6CajUY
"December 17, 2024 at 09:36PM",acabou o amor,MC Cabelinho,3TuJODOhChHkg1pbMQ8RW4,https://open.spotify.com/track/3TuJODOhChHkg1pbMQ8RW4
"December 17, 2024 at 09:38PM",tigrinho,MC Cabelinho,56x69XVUEab7NtWMUYvcLe,https://open.spotify.com/track/56x69XVUEab7NtWMUYvcLe
"December 17, 2024 at 09:41PM",TEMPO DO OURO,Alee,7a9sHTuIYHpwiAFUMgm7A7,https://open.spotify.com/track/7a9sHTuIYHpwiAFUMgm7A7
"December 17, 2024 at 09:44PM",PASSADO DE UM VILÃO,Alee,5gXH6r92zVkhgP1BF73J4b,https://open.spotify.com/track/5gXH6r92zVkhgP1BF73J4b
"December 17, 2024 at 09:47PM",Balanço de Rede,WIU,0qaEgZu9Qq9D41zyiAiiro,https://open.spotify.com/track/0qaEgZu9Qq9D41zyiAiiro
"December 17, 2024 at 09:50PM",Mira Laser,BIN,68HhgilmzwszvhQouUPNsg,https://open.spotify.com/track/68HhgilmzwszvhQouUPNsg
"December 17, 2024 at 09:52PM",POOL PARTY,MC Cabelinho,6oQ6511FBtTdyyGuVOblEF,https://open.spotify.com/track/6oQ6511FBtTdyyGuVOblEF
"December 17, 2024 at 09:55PM",7 da Sorte,Veigh,6BD0tVP2lRt5gWWeEh29mv,https://open.spotify.com/track/6BD0tVP2lRt5gWWeEh29mv
"December 17, 2024 at 09:59PM",Ysl,Yunk Vino,4O3nF2ZJXQJv7l9yE7RgtL,https://open.spotify.com/track/4O3nF2ZJXQJv7l9yE7RgtL
"December 17, 2024 at 10:02PM",LÁBIA,Brandão85,42arugDXoej6GJHgunVlkq,https://open.spotify.com/track/42arugDXoej6GJHgunVlkq
"December 17, 2024 at 10:05PM",Princesa dos Meus Sonhos,Chico da Tina,1N8DekUrhTc9xKjUX5tOnj,https://open.spotify.com/track/1N8DekUrhTc9xKjUX5tOnj
